General Health,High Blood Pressure,High Cholesterol,Difficulty Walking,Heart Disease,Age Group,Recommendation
Excellent,No,No,No,No,18-40,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate to High"
Excellent,No,No,No,No,41-65,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate to High"
Excellent,No,No,No,No,66-90,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate to High"
Excellent,No,No,No,Yes,18-40,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Excellent,No,No,No,Yes,41-65,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Excellent,No,No,No,Yes,66-90,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Excellent,No,No,Yes,No,18-40,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate to High
Excellent,No,No,Yes,No,41-65,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate to High
Excellent,No,No,Yes,No,66-90,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate to High
Excellent,No,No,Yes,Yes,18-40,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Excellent,No,No,Yes,Yes,41-65,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Excellent,No,No,Yes,Yes,66-90,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Excellent,No,Yes,No,No,18-40,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Excellent,No,Yes,No,No,41-65,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Excellent,No,Yes,No,No,66-90,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Excellent,No,Yes,No,Yes,18-40,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Excellent,No,Yes,No,Yes,41-65,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Excellent,No,Yes,No,Yes,66-90,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Excellent,No,Yes,Yes,No,18-40,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate
Excellent,No,Yes,Yes,No,41-65,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate
Excellent,No,Yes,Yes,No,66-90,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate
Excellent,No,Yes,Yes,Yes,18-40,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Excellent,No,Yes,Yes,Yes,41-65,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Excellent,No,Yes,Yes,Yes,66-90,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Excellent,Yes,No,No,No,18-40,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Excellent,Yes,No,No,No,41-65,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Excellent,Yes,No,No,No,66-90,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Excellent,Yes,No,No,Yes,18-40,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Excellent,Yes,No,No,Yes,41-65,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Excellent,Yes,No,No,Yes,66-90,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Excellent,Yes,No,Yes,No,18-40,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate
Excellent,Yes,No,Yes,No,41-65,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate
Excellent,Yes,No,Yes,No,66-90,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate
Excellent,Yes,No,Yes,Yes,18-40,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Excellent,Yes,No,Yes,Yes,41-65,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Excellent,Yes,No,Yes,Yes,66-90,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Excellent,Yes,Yes,No,No,18-40,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Excellent,Yes,Yes,No,No,41-65,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Excellent,Yes,Yes,No,No,66-90,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Excellent,Yes,Yes,No,Yes,18-40,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Excellent,Yes,Yes,No,Yes,41-65,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Excellent,Yes,Yes,No,Yes,66-90,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Excellent,Yes,Yes,Yes,No,18-40,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate
Excellent,Yes,Yes,Yes,No,41-65,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate
Excellent,Yes,Yes,Yes,No,66-90,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate
Excellent,Yes,Yes,Yes,Yes,18-40,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Excellent,Yes,Yes,Yes,Yes,41-65,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Excellent,Yes,Yes,Yes,Yes,66-90,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Very Good,No,No,No,No,18-40,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate to High"
Very Good,No,No,No,No,41-65,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate to High"
Very Good,No,No,No,No,66-90,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate to High"
Very Good,No,No,No,Yes,18-40,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Very Good,No,No,No,Yes,41-65,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Very Good,No,No,No,Yes,66-90,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Low"
Very Good,No,No,Yes,No,18-40,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate to High
Very Good,No,No,Yes,No,41-65,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate to High
Very Good,No,No,Yes,No,66-90,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Moderate to High
Very Good,No,No,Yes,Yes,18-40,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Very Good,No,No,Yes,Yes,41-65,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Very Good,No,No,Yes,Yes,66-90,Seated exercises or water-based activities; Seated resistance exercises or elastic band; Stretching 5-10 min daily; Seated balance exercises; Intensity: Low
Very Good,No,Yes,No,No,18-40,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
Very Good,No,Yes,No,No,41-65,"Walking, cycling, or low-impact cardio (30-45 min); Bodyweight or light resistance training, 2-3 times/week; Stretching 5-10 min daily; Standing balance or Tai Chi exercises, 5-10 min/day; Intensity: Moderate"
